title,year,tokens,vocab_size
Poems of the Great War: 1914–1918,1899,37841,4023
The War Poems of Siegfried Sassoon,,18026,3204
Poems by Wilfred Owen,1903,164067,9528
Battle Poems and Patriotism,,171467,25964
Poems by Rupert Brooke,2008,17867,2468
Poems of the Great War by Nichols,1909,93893,8770
Poems of the Great War by Graves,1917,73784,6032
Poems of the Great War by Sorley,1913,83099,8750
Poems of the Great War by Gibson,1919,73764,5344
Poems of the Great War by Read,1895,45642,5455
Poems of the Great War by Hodgson,1806,73554,6810
Poems of the Great War by Noyes,,148079,8459
Poems of the Great War by Nichols (II),1921,31893,4925
Poems of the Great War by Grenfell,1868,79109,8423
Poems by Kipling (War Poems),1918,43172,6205
Poems from The Old Front Line,1893,80265,8536
Poems of the World War,,4,4
Poems of War and Patriotism,1884,91471,10855
War Poems by G. K. Chesterton,,4,4
War Poems by John McCrae,,4,4
Poems from France (1916–1918),2010,38451,5349
Poems by Alan Seeger,1997,17592,2785
War Sonnets,1955,2856,991
Poems of War and Peace,,4,4
Soldier Songs,1902,105769,9477
