title,year,tokens,vocab_size
Sonnets from the Portuguese,2015,8289,1949
The Love Sonnets of Shakespeare,,18026,3204
Love Songs,2013,104143,8345
Love Poems,2009,43949,5041
Love Poems and Others,1830,48088,5433
Love Sonnets of an Office Boy,1841,75572,7836
Love’s Philosophy and Other Poems,1914,354618,19603
A Little Book of Love,2016,96735,8184
Songs of Love and Beauty,1922,111865,8632
The Garden of Love,1896,176119,16388
Elizabeth Barrett Browning’s Sonnets,1890,19584,2066
Poems of Passion,2001,67981,8423
A Lover’s Complaint,,10067,2496
Songs of Love and Empire,1851,13785,3704
Love Triumphant and Other Poems,1872,77415,5744
The Book of Love,1908,78924,6184
Love Songs of Childhood,,4,4
Love and Other Poems,,4,4
The House of Life (Sonnets),1913,145675,15099
A Little Book of Western Verse (Love selections),1804,107474,7633
Poems by Christina Rossetti,2008,30111,5442
Love Lyrics and Sonnets,1975,80487,9198
Love and Friendship and Other Early Works,,33302,4111
Songs and Sonnets,2004,84686,9559
A Garden of Love Songs,2013,78496,7166
