Poem_Title,Theme,StringOverlap_Love,StringOverlap_Hate,SemanticSim_Love,SemanticSim_Hate
Sonnets from the Portuguese,Love,9,4,0.1062,0.0925
The Love Sonnets of Shakespeare,Love,10,6,0.1099,0.0976
Love Songs,Love,6,0,0.1004,0.0873
Love Poems,Love,16,1,0.0978,0.0882
Love Poems and Others,Love,15,4,0.1068,0.0939
Love Sonnets of an Office Boy,Love,9,5,0.097,0.0859
Love’s Philosophy and Other Poems,Love,11,3,0.1072,0.0932
A Little Book of Love,Love,4,1,0.1026,0.0901
Songs of Love and Beauty,Love,4,13,0.0944,0.0861
The Garden of Love,Love,8,3,0.1004,0.0894
Elizabeth Barrett Browning’s Sonnets,Love,9,7,0.1019,0.0891
Poems of Passion,Love,0,0,0.0923,0.0828
A Lover’s Complaint,Love,9,9,0.1047,0.0915
Songs of Love and Empire,Love,7,3,0.0981,0.0869
Love Triumphant and Other Poems,Love,2,5,0.1019,0.09
The Book of Love,Love,3,1,0.095,0.0853
Love Songs of Childhood,Love,1,0,0.0886,0.0796
Love and Other Poems,Love,1,0,0.0886,0.0796
The House of Life (Sonnets),Love,7,4,0.0998,0.0888
A Little Book of Western Verse (Love selections),Love,4,2,0.0975,0.0862
Poems by Christina Rossetti,Love,6,4,0.1036,0.0899
Love Lyrics and Sonnets,Love,5,2,0.1016,0.0894
Love and Friendship and Other Early Works,Love,11,2,0.1106,0.0933
Songs and Sonnets,Love,10,2,0.1027,0.0895
A Garden of Love Songs,Love,3,4,0.0989,0.0883
Poems of the Great War: 1914–1918,Hate,3,0,0.1048,0.0926
The War Poems of Siegfried Sassoon,Hate,10,6,0.1099,0.0976
Poems by Wilfred Owen,Hate,9,3,0.0995,0.0877
Battle Poems and Patriotism,Hate,2,1,0.0993,0.0883
Poems by Rupert Brooke,Hate,3,2,0.0982,0.0877
Poems of the Great War by Nichols,Hate,9,6,0.0944,0.0846
Poems of the Great War by Graves,Hate,3,2,0.101,0.0894
Poems of the Great War by Sorley,Hate,9,1,0.1026,0.0888
Poems of the Great War by Gibson,Hate,4,4,0.0981,0.0879
Poems of the Great War by Read,Hate,10,3,0.1026,0.0892
Poems of the Great War by Hodgson,Hate,11,3,0.1091,0.0956
Poems of the Great War by Noyes,Hate,7,0,0.1018,0.0889
Poems of the Great War by Nichols (II),Hate,10,3,0.0986,0.0869
Poems of the Great War by Grenfell,Hate,12,5,0.1063,0.0923
Poems by Kipling (War Poems),Hate,7,9,0.0953,0.0855
Poems from The Old Front Line,Hate,2,1,0.1007,0.0894
Poems of the World War,Hate,1,0,0.0886,0.0796
Poems of War and Patriotism,Hate,10,3,0.0983,0.0868
War Poems by G. K. Chesterton,Hate,1,0,0.0886,0.0796
War Poems by John McCrae,Hate,1,0,0.0886,0.0796
Poems from France (1916–1918),Hate,9,1,0.1045,0.0911
Poems by Alan Seeger,Hate,10,2,0.1057,0.0911
War Sonnets,Hate,6,6,0.1076,0.0946
Poems of War and Peace,Hate,1,0,0.0886,0.0796
Soldier Songs,Hate,5,2,0.0962,0.0859
